ref_name,doi
Planas21,10.1101/2021.02.12.430472
Shen21,10.1101/2021.01.27.428516
Wang21,10.1101/2021.01.15.426911
Edara21,10.1101/2021.02.02.21250799
Cerutti21,10.1101/2021.02.21.432168
Wibmer21,10.1101/2021.01.18.427166
Kemp20,10.1101/2020.12.14.422555
Wu21,10.1101/2021.01.25.427948
Muik21,10.1101/2021.01.18.426984
Greaney21,10.1101/2020.12.31.425021
Xie21b,10.1101/2021.01.27.427998
Maisonnasse21,10.21203/rs.3.rs-235272/v1
Zhang22,10.21203/rs.3.rs-483022/v1
Acevedo21,10.21203/rs.3.rs-782704/v1
Touret22b,10.21203/rs.3.rs-1415749/v1
Chalkias22,10.21203/rs.3.rs-1555201
Zhang21c,10.21203/rs.3.rs-492659/v1
Yi21,10.21203/rs.3.rs-497595/v1
Focosi21b,10.21203/rs.3.rs-524959/v1
Stanevich23,10.21203/rs.3.rs-750741
Skelly21,10.21203/rs.3.rs-226857/v2
Mlcochova21,10.21203/rs.3.rs-637724/v1
Jalkanen21,10.21203/rs.3.rs-343388/v1
Virtanen21,10.21203/rs.3.rs-279522/v1
Shi21,10.21203/rs.3.rs-540721/v1
Skelly21,10.21203/rs.3.rs-226857/v1
Diamond21,10.21203/rs.3.rs-228079/v1
Emary21,10.2139/ssrn.3779160
Wang22h,10.1101/2022.07.31.502235
Kurhade22b,10.1101/2022.06.05.494889
Muik22b,10.1101/2022.08.02.502461
Qu22b,10.1101/2022.08.14.503921
Seaman22,10.1101/2022.03.02.22271731
Hoffman22,10.1101/2021.12.12.472286
Aggarwal22,10.1101/2021.12.14.21267772
Wang22j,10.1101/2022.09.05.506628
Cao22c,10.1101/2022.07.18.500332
Saito22,10.1101/2022.08.07.503115
Choudhary22,10.1101/2021.09.03.21263105
Rothenberger22,10.1101/2021.02.03.429164
Muik22,10.1101/2021.12.22.21268103
Zou23,10.1101/2022.11.17.516898
Wang22l,10.1101/2022.11.23.517532
Hu23,10.1101/2022.06.28.497978
Zhou22c,10.1101/2022.06.06.494921
Maponga22,10.2139/ssrn.4014499
Noske23,10.1101/2022.08.31.506107
Jochmans23,10.1101/2022.06.07.495116
Iketani22c,10.1101/2022.08.07.499047
Chuang22,10.1101/2022.06.14.22276236
Bhiman22,10.1101/2022.07.14.500148
Pickering22,10.1101/2022.02.22.481551
Jacobsen22,10.1101/2021.12.21.21267898
Uriu23,10.1101/2023.01.16.524178
Heilmann22,10.1101/2022.07.02.495455
Touret23,10.1101/2022.12.22.521201
Planas23,10.1101/2022.11.17.516888
Kurhade23,10.1101/2022.10.31.514580
Miller23,10.1101/2022.11.01.514722
Wang22i,10.1101/2022.08.04.502716
Xie22,10.1101/2022.07.29.502055
Qu22d,10.1101/2022.10.19.512891
Harari22,10.1101/2022.02.17.22270829
Akerman22,10.1101/2022.12.06.22283000
Branche23,10.1101/2023.01.31.23285306
Yamasoba23,10.1101/2023.04.06.535883
Iketani22b,10.1101/2022.06.23.497404
Moghadasi23b,10.1101/2022.08.07.503099
Moghadasi23,10.1101/2023.02.25.530000
Oliveira23,10.1101/2022.07.31.502215
Ou23,10.1101/2022.08.06.503039
Palomino-Cabrera23,10.1101/2023.03.01.530733
Vikse23,10.1101/2023.01.05.522845
Jian23,10.1101/2023.08.30.555211
Uriu23b,10.1101/2023.09.07.556636
Qu23b,10.1101/2023.09.11.557206
