ref_name,chiro_rx_name,ab_name
Miao20,ACE2-Fc,ACE2-Fc
Noy-Porat20,MD17,MD17
Noy-Porat20,MD29,MD29
Noy-Porat20,MD45,MD45
Noy-Porat20,MD47,MD47
Noy-Porat20,MD62,MD62
Noy-Porat20,MD65,MD65
Noy-Porat20,MD67,MD67
Pan20,Eq-F(ab')2,Eq-F(ab')2
Pan20,Eq-F(ab')2-Ig,Eq-F(ab')2-Ig
Pan20,Eq-F(ab')2-RBD-enriched,Eq-F(ab')2-RBD-enriched
Pan20,Eq-F(ab')2-RBD-enriched-Ig,Eq-F(ab')2-RBD-enriched-Ig
Pinto20,S309,Sotrovimab
Rappazzo21,ADI-55689,ADI-55689
Rappazzo21,ADG-1,ADG-1
Rappazzo21,ADI-55688,ADI-55688
Rappazzo21,ADG-2,Adintrevimab
Rappazzo21,ADI-56046,ADI-56046
Rappazzo21,ADG-3,ADG-3
Rappazzo21,S309,Sotrovimab
Rappazzo21,REGN10987,Imdevimab
Rappazzo21,REGN10933,Casirivimab
Rappazzo21,LY-CoV016,Etesevimab
Rappazzo21,LY-CoV555,Bamlanivimab
Rappazzo21,CB6,Etesevimab
Robbiani20,C121,C121
Robbiani20,C135,C135
Robbiani20,C144,C144
Rockx08,S109.8,S109.8
Rockx08,S110.4,S110.4
Rockx08,S111.7,S111.7
Rockx08,S124.5,S124.5
Rockx08,S127.6,S127.6
Rockx08,S132,S132
Rockx08,S215.17,S215.17
Rockx08,S217.4,S217.4
Rockx08,S218.9,S218.9
Rockx08,S219.2,S219.2
Rockx08,S222.1,S222.1
Rockx08,S223.4,S223.4
Rockx08,S224.17,S224.17
Rockx08,S225.12,S225.12
Rockx08,S226.10,S226.10
Rockx08,S227.14,S227.14
Rockx08,S228.11,S228.11
Rockx08,S230.15,S230.15
Rockx08,S231.19,S231.19
Rockx08,S232.17,S232.17
Rockx08,S234.6,S234.6
Rockx08,S237.1,S237.1
Rockx08,S3.1,S3.1
Rogers20,CC12.1,CC12.1
Rosenfeld20,MD65 (IgG1),MD65 (IgG1)
Rosenfeld20,MD65 (scFv-Fc),MD65 (scFv-Fc)
Rosenfeld20,MD65-YTE,MD65-YTE
Schoof20,Nb3,Nb3
Schoof20,Nb3-trimeric,Nb3-trimeric
Schoof20,Nb6,Nb6
Schoof20,Nb6-matured,Nb6-matured
Schoof20,Nb6-matured-trimeric,Nb6-matured-trimeric
Schoof20,Nb6-trimeric,Nb6-trimeric
Shi20,CA1,CA1
Shi20,CB6,Etesevimab
Sui04,80R-IgG1,80R-IgG1
Sui04,80R-scFv,80R-scFv
Sun20,VH-Ab6-Fc,VH-Ab6-Fc
Sun20,Vh-M397-Fc,Vh-M397-Fc
Tang14,1E9-Fc,1E9-Fc
Tang14,1F8-Fc,1F8-Fc
Tang14,1F8-IgG,1F8-IgG
Tang14,3A1-Fc,3A1-Fc
Tang14,3A1-IgG,3A1-IgG
Tang14,3B11-Fc,3B11-Fc
Tang14,3B11-IgG,3B11-IgG
Tang14,3B12-Fc,3B12-Fc
Tang14,3C12-Fc,3C12-Fc
Tang14,M14D3-Fc,M14D3-Fc
terMeulen04,CR3014,CR3014
terMeulen06,CR3014,CR3014
terMeulen06,CR3022,CR3022
Tortorici20,S2M11,S2M11
Tortorici20,S2E12,S2E12
Traggiai04,S101.1,S101.1
Traggiai04,S102.1,S102.1
Traggiai04,S103.3,S103.3
Traggiai04,S104.1,S104.1
Traggiai04,S105.2,S105.2
Traggiai04,S106.1,S106.1
Traggiai04,S107.4,S107.4
Traggiai04,S108.1,S108.1
Traggiai04,S109.2,S109.2
Traggiai04,S124.4,S124.4
Traggiai04,S127.6,S127.6
Traggiai04,S128.5,S128.5
Traggiai04,S132.9,S132.9
Traggiai04,S159.1,S159.1
Traggiai04,S160.1,S160.1
Traggiai04,S215.13,S215.13
Traggiai04,S216.9,S216.9
Traggiai04,S217.2,S217.2
Traggiai04,S218.6,S218.6
Traggiai04,S219.2,S219.2
Traggiai04,S3.1,S3.1
ValenzuelaNieto21,W25,W25
ValenzuelaNieto21,W25FcM,W25FcM
ValenzuelaNieto21,W25Fc,W25Fc
ValenzuelaNieto21,VHH-72-FcM,VHH-72-FcM
Wan20,414-1,414-1
Wang20b,ABBV-47D11,ABBV-47D11
Wang20h,2H4,2H4
Wang20h,3D11,3D11
Wang20h,5A6,5A6
Wang20h,6F8,6F8
