ref_name,rx_name,ab_name
Cao22d,BD55-3525,BD55-3525
Cao22d,BD55-1294,BD55-1294
Cao22d,BD55-1831,BD55-1831
Cao22d,BD-913,BD-913
Cao22d,BD-692,BD-692
Cao22d,BD55-3716,BD55-3716
Cao22d,BD55-5233,BD55-5233
Cao22d,BD55-5333,BD55-5333
Cao22d,BD-702,BD-702
Cao22d,C594,C594
Cao22d,BD-449,BD-449
Cao22d,BD-899,BD-899
Cao22d,BD55-5170,BD55-5170
Cao22d,BD55-5384,BD55-5384
Cao22d,COV2-2015,COV2-2015
Cao22d,COV2-2678,COV2-2678
Cao22d,BD55-5276,BD55-5276
Cao22d,BD55-5325,BD55-5325
Cao22d,BD55-5365,BD55-5365
Cao22d,S304,S304
Cao22d,COV2-2103,COV2-2103
Cao22d,BD-494,BD-494
Cao22d,BD55-5300,BD55-5300
Cao22d,BD55-3372,BD55-3372
Cao22d,BD55-3500,BD55-3500
Cao22d,BD55-5339,BD55-5339
Cao22d,BD55-1237,BD55-1237
Cao22d,COVA1-16,COVA1-16
Cao22d,BD-801,BD-801
Cao22d,BD55-5259,BD55-5259
Cao22d,COV2-2828,COV2-2828
Cao22d,DH1047,DH1047
Cao22d,BD55-5226,BD55-5226
Cao22d,BD55-5267,BD55-5267
Cao22d,BD-708,BD-708
Cao22d,BD55-3304,BD55-3304
Cao22d,DH1045,DH1045
Cao22d,BD30-254,BD30-254
Cao22d,BD30-319,BD30-319
Cao22d,BD30-362,BD30-362
Cao22d,BD30-368,BD30-368
Cao22d,BD30-369,BD30-369
Cao22d,BD30-397,BD30-397
Cao22d,BD30-403,BD30-403
Cao22d,BD30-467,BD30-467
Cao22d,BD30-494,BD30-494
Cao22d,BD30-593,BD30-593
Cao22d,BD55-109,BD55-109
Cao22d,BD55-118,BD55-118
Cao22d,BD55-13,BD55-13
Cao22d,BD55-161,BD55-161
Cao22d,BD55-166,BD55-166
Cao22d,BD55-171,BD55-171
Cao22d,BD55-174,BD55-174
Cao22d,BD55-175,BD55-175
Cao22d,BD55-187,BD55-187
Cao22d,BD55-192,BD55-192
Cao22d,BD55-194,BD55-194
Cao22d,BD55-203,BD55-203
Cao22d,BD55-240,BD55-240
Cao22d,BD55-277,BD55-277
Cao22d,BD55-288,BD55-288
Cao22d,BD55-302,BD55-302
Cao22d,BD55-63,BD55-63
Cao22d,BD55-64,BD55-64
Cao22d,BD55-72,BD55-72
Cao22d,BD55-85,BD55-85
Cao22d,BD55-206,BD55-206
Cao22d,BD30-236,BD30-236
Cao22d,BD30-417,BD30-417
Cao22d,BD30-449,BD30-449
Cao22d,BD30-498,BD30-498
Cao22d,BD30-500,BD30-500
Cao22d,BD30-503,BD30-503
Cao22d,BD30-504,BD30-504
Cao22d,BD30-508,BD30-508
Cao22d,BD30-536,BD30-536
Cao22d,BD30-566,BD30-566
Cao22d,BD30-598,BD30-598
Cao22d,BD30-599,BD30-599
Cao22d,BD30-604,BD30-604
Cao22d,BD30-605,BD30-605
Cao22d,BD30-612,BD30-612
Cao22d,BD30-614,BD30-614
Cao22d,BD30-616,BD30-616
Cao22d,BD30-618,BD30-618
Cao22d,BD30-619,BD30-619
Cao22d,BD30-623,BD30-623
Cao22d,BD55-114,BD55-114
Cao22d,BD55-160,BD55-160
Cao22d,BD55-182,BD55-182
Cao22d,BD55-185,BD55-185
Cao22d,BD55-234,BD55-234
Cao22d,BD55-269,BD55-269
Cao22d,BD55-270,BD55-270
Cao22d,BD55-283,BD55-283
Cao22d,BD55-284,BD55-284
Cao22d,BD55-285,BD55-285
Cao22d,BD55-292,BD55-292
Cao22d,BD55-293,BD55-293
Cao22d,BD55-300,BD55-300
Cao22d,BD55-62,BD55-62
Cao22d,BD55-78,BD55-78
Cao22d,BD55-83,BD55-83
Cao22d,CB6,Etesevimab
Cao22d,S309,Sotrovimab
